id,nome,cpf,email,telefone,data_nascimento,created_on,updated_on
11,A****** Cunha,645.***.***-**,a****@example.com,2467,1952-08-11,2025-10-15 15:37:17.266001,2025-10-15 15:37:17.266002
57,E**** Vasconcelos,863.***.***-**,d************@example.org,1445,1952-07-02,2025-10-15 15:37:17.266065,2025-10-15 15:37:17.266065
82,L****** Mendes,738.***.***-**,l*****@example.com,1482,1952-12-22,2025-10-15 15:37:17.266100,2025-10-15 15:37:17.266100
153,S** Paulo Albuquerque,905.***.***-**,z*******@example.com,6759,1952-05-09,2025-10-15 15:37:17.266195,2025-10-15 15:37:17.266196
298,C******* Campos,149.***.***-**,m********************@example.net,4748,1952-10-28,2025-10-15 15:37:17.266404,2025-10-15 15:37:17.266404
428,M**** Júlia Silveira,351.***.***-**,b*******@example.org,9098,1952-04-25,2025-10-15 15:37:17.266570,2025-10-15 15:37:17.266570
431,A*** Liz Sá,349.***.***-**,e*****@example.net,0062,1952-06-12,2025-10-15 15:37:17.266574,2025-10-15 15:37:17.266574
771,M**** Luiza Oliveira,452.***.***-**,i**************@example.com,6627,1952-03-06,2025-10-15 15:37:17.267005,2025-10-15 15:37:17.267006
812,C***** Oliveira,564.***.***-**,m*************@example.com,6534,1952-09-24,2025-10-15 15:37:17.267057,2025-10-15 15:37:17.267058
843,S** Kevin da Rocha,573.***.***-**,d*********@example.net,4459,1952-05-31,2025-10-15 15:37:17.267095,2025-10-15 15:37:17.267095
864,O***** Farias,795.***.***-**,g*******@example.org,3843,1952-06-25,2025-10-15 15:37:17.267122,2025-10-15 15:37:17.267123
952,Í*** Rios,416.***.***-**,l************@example.org,0571,1952-08-10,2025-10-15 15:37:17.267234,2025-10-15 15:37:17.267234
963,L*** Felipe Pacheco,395.***.***-**,r************@example.com,3355,1952-11-30,2025-10-15 15:37:17.267247,2025-10-15 15:37:17.267247
1042,J*** Pedro Cassiano,728.***.***-**,a************@example.org,3835,1952-03-24,2025-10-15 15:37:17.267355,2025-10-15 15:37:17.267355
1053,D*** Lucca Cassiano,018.***.***-**,e*****@example.org,7309,1952-02-19,2025-10-15 15:37:17.267368,2025-10-15 15:37:17.267369
1065,L**** Gabriel Freitas,059.***.***-**,l********@example.org,9531,1952-04-12,2025-10-15 15:37:17.267385,2025-10-15 15:37:17.267385
