id,nome,cpf,email,telefone,data_nascimento,created_on,updated_on
96,M**** Alice Sá,467.***.***-**,s*************@example.net,9910,2007-11-16,2025-10-15 15:37:17.266118,2025-10-15 15:37:17.266119
187,T***** Abreu,820.***.***-**,f*******@example.com,9497,2007-05-24,2025-10-15 15:37:17.266241,2025-10-15 15:37:17.266242
248,M****** Fonseca,859.***.***-**,b******@example.org,3637,2007-06-15,2025-10-15 15:37:17.266328,2025-10-15 15:37:17.266328
369,T***** Rezende,205.***.***-**,m***********@example.org,5235,2007-02-21,2025-10-15 15:37:17.266494,2025-10-15 15:37:17.266495
407,B**** Moraes,297.***.***-**,p***************@example.net,2214,2007-08-23,2025-10-15 15:37:17.266542,2025-10-15 15:37:17.266543
445,D*** Clara Barros,597.***.***-**,c*****@example.org,6952,2007-09-19,2025-10-15 15:37:17.266591,2025-10-15 15:37:17.266591
577,N*** Fernandes,028.***.***-**,a*********@example.org,0637,2007-08-27,2025-10-15 15:37:17.266761,2025-10-15 15:37:17.266761
725,T***** Santos,871.***.***-**,l*****@example.org,5410,2007-08-14,2025-10-15 15:37:17.266948,2025-10-15 15:37:17.266948
775,M***** Vinicius Pimenta,305.***.***-**,f************@example.org,2578,2007-09-17,2025-10-15 15:37:17.267010,2025-10-15 15:37:17.267011
826,L****** Cassiano,452.***.***-**,l***********@example.net,8141,2007-02-24,2025-10-15 15:37:17.267074,2025-10-15 15:37:17.267075
828,M***** Rocha,275.***.***-**,l**********@example.net,2105,2007-03-04,2025-10-15 15:37:17.267076,2025-10-15 15:37:17.267077
890,G*** da Luz,849.***.***-**,d******@example.com,6596,2007-04-15,2025-10-15 15:37:17.267156,2025-10-15 15:37:17.267156
917,R*** Fogaça,809.***.***-**,r****@example.net,4985,2007-09-09,2025-10-15 15:37:17.267189,2025-10-15 15:37:17.267189
998,S** João Gabriel Porto,635.***.***-**,a**********@example.net,7423,2007-07-23,2025-10-15 15:37:17.267296,2025-10-15 15:37:17.267297
999,I****** Castro,673.***.***-**,l*************@example.org,3859,2007-04-11,2025-10-15 15:37:17.267298,2025-10-15 15:37:17.267298
